1489584648,139.3084,139.4092,139.3084,139.3966,468900
1489584676,139.2500,139.3100,139.2401,139.2401,118500
1489584734,139.2800,139.2800,139.2800,139.2800,35800
1489584782,139.3250,139.3500,139.2300,139.3142,177100
1489584841,139.3100,139.3500,139.2700,139.3300,68600
1489584900,139.1800,139.3400,139.1700,139.3100,124400
1489584960,139.2300,139.2500,139.1800,139.1900,27900
1489585020,139.1400,139.2300,139.1099,139.2300,94800
1489585081,139.1800,139.1900,139.1000,139.1500,59100
1489585140,139.2500,139.2900,139.1400,139.1700,54100
1489585200,139.2300,139.3000,139.2300,139.2500,109600
1489585319,139.1900,139.2400,139.1750,139.2350,52000
1489585320,139.2200,139.2325,139.1800,139.1900,41300
1489585380,139.2300,139.2600,139.2010,139.2200,61700
1489585441,139.1800,139.2400,139.1300,139.2300,93300
1489585559,139.1800,139.2000,139.1300,139.1800,37900
1489585560,139.2000,139.2100,139.1735,139.1800,48600
1489585620,139.1600,139.2300,139.1500,139.2000,44200
1489585739,139.1200,139.1660,139.0900,139.1500,80100
1489585740,139.1200,139.1500,139.0700,139.1200,92000
1489585800,139.0967,139.1200,139.0600,139.1200,55500
1489585860,139.1200,139.1592,139.0250,139.0900,94200
1489585975,139.2100,139.2500,139.1140,139.1200,133800
1489585981,139.2000,139.2300,139.1900,139.2000,29100
1489586041,139.1720,139.2150,139.1700,139.2100,40200
1489586102,139.1350,139.1800,139.1075,139.1700,73400
1489586160,139.2700,139.2700,139.1350,139.1350,115500
1489586279,139.3000,139.3000,139.2300,139.2600,83600
1489586280,139.2500,139.3200,139.2500,139.3000,38400
1489586399,139.2600,139.2650,139.2200,139.2550,31200
1489586400,139.2100,139.2800,139.2045,139.2500,23500
1489586461,139.1901,139.2400,139.1800,139.2100,31700
1489586521,139.2800,139.2890,139.1900,139.2000,63800
1489586639,139.3000,139.3200,139.2600,139.2800,50700
1489586640,139.2600,139.3001,139.2400,139.3001,39800
1489586704,139.2650,139.2786,139.2300,139.2600,27200
1489586762,139.2300,139.2800,139.2200,139.2647,40600
1489586821,139.2101,139.2300,139.1800,139.2200,38100
1489586883,139.2200,139.2250,139.1900,139.2200,26200
1489586940,139.2299,139.2400,139.2001,139.2100,31500
1489587059,139.2300,139.2400,139.2100,139.2200,17700
1489587060,139.3100,139.3200,139.2150,139.2300,47700
1489587120,139.3100,139.3344,139.2900,139.3100,58600
1489587180,139.2800,139.3300,139.2600,139.3121,23000
1489587243,139.3250,139.3395,139.2900,139.2900,30100
1489587301,139.3300,139.3500,139.3100,139.3300,33300
1489587419,139.2300,139.3300,139.2300,139.3300,59500
1489587479,139.2800,139.2855,139.2200,139.2300,36500
1489587480,139.2790,139.3000,139.2700,139.2800,19500
1489587599,139.3100,139.3100,139.2644,139.2700,20900
1489587659,139.3100,139.3100,139.2900,139.3000,29000
1489587660,139.3271,139.3300,139.2956,139.3150,51100
1489587720,139.3200,139.3300,139.3144,139.3265,17700
1489587780,139.3300,139.3500,139.3200,139.3300,43200
1489587840,139.3100,139.3400,139.3000,139.3300,22200
1489587900,139.3101,139.3200,139.3000,139.3100,14200
1489587961,139.3300,139.3500,139.3000,139.3100,25200
1489588023,139.3133,139.3200,139.3000,139.3200,17600
1489588080,139.2844,139.3200,139.2844,139.3100,23000
1489588140,139.3200,139.3500,139.2800,139.2800,59700
1489588200,139.3205,139.3400,139.3000,139.3250,18400
1489588260,139.2991,139.3500,139.2991,139.3300,21300
1489588320,139.2600,139.3038,139.2550,139.2974,30400
1489588381,139.2800,139.2940,139.2450,139.2700,53500
1489588440,139.2900,139.3100,139.2600,139.2800,22500
1489588557,139.3000,139.3145,139.2800,139.3000,24700
1489588560,139.2700,139.3000,139.2600,139.2951,16600
1489588620,139.2900,139.2900,139.2600,139.2600,14200
1489588680,139.2700,139.3100,139.2700,139.2900,24400
1489588799,139.2500,139.2935,139.2450,139.2800,30300
